Año;Periodo;%
1981;Año;0,43
1982;Año;0,49
1983;Año;0,48
1984;Año;0,5
1985;Año;0,55
1986;Año;0,61
1987;Año;0,64
1988;Año;0,72
1989;Año;0,75
1990;Año;0,85
1991;Año;0,87
1992;Año;0,91
1993;Año;0,91
1994;Año;0,85
1995;Año;0,81
1996;Año;0,83
1997;Año;0,82
1998;Año;0,89
1999;Año;0,88
2000;Año;0,94
2001;Año;0,91
2002;Año;0,99
2003;Año;1,05
2004;Año;1,06
2005;Año;1,12
2006;Año;1,2
2007;Año;1,27
2008;Año;1,35
2009;Año;1,38
2010;Año;1,4
2011;Año;1,36
2012;Año;1,3
2013;Año;1,27
2014;Año;1,24
2015;Año;1,22
2016;Año;1,19
2017;Año;1,21
2018;Año;1,24
2019;Año;1,25
2020;Año;1,41
2021;Año;1,43